"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","How you wanna be Spirit without spirit prices @AmericanAir ????",FALSE,0,NA,2017-03-24 23:59:44,FALSE,NA,"845424928182714368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","xNatali33x",0,FALSE,FALSE,NA,NA
"2","@BSpearsOnMyMind @AmericanAir @britneyspears Text/call me for Free Guestlist &amp; VIP access to any nightclubs<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8>stripclubs in 702-931-7265",FALSE,0,"BSpearsOnMyMind",2017-03-24 23:59:40,FALSE,"845377075196313600","845424909153193985","4731151573","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","evepromo",0,FALSE,FALSE,NA,NA
"3","@jodmentum Available seating on this flight can cause fares to change. Please give Web Tech Support for online help at  800-222-2377.",FALSE,0,"jodmentum",2017-03-24 23:59:35,FALSE,"845400272860057600","845424887472836611","16017195","<a href=""http://ivoucher.aa.com/snap"" rel=""nofollow"">SNAP100</a>","AmericanAir",0,FALSE,FALSE,NA,NA
"4","@AmericanAir your airline bothered to tell anyone.",FALSE,0,"AmericanAir",2017-03-24 23:59:25,FALSE,"845413800723578880","845424847475949568","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Asherlaw",0,FALSE,FALSE,NA,NA
"5","Really charging for baggage on an international flight <ed><U+00A0><U+00BD><ed><U+00B8><U+0092> @AmericanAir",FALSE,0,NA,2017-03-24 23:59:13,FALSE,NA,"845424796229914624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","xNatali33x",0,FALSE,FALSE,NA,NA
"6","@AmericanAir for an hour while we waited for luggage that had already arrived but was sitting in a room while nobody from",FALSE,0,"AmericanAir",2017-03-24 23:59:10,FALSE,"845413800723578880","845424785769271297","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Asherlaw",0,FALSE,FALSE,NA,NA
"7","Flight 915 delayed again for a maintenance that is supposed to be done overnight. Shameful @AmericanAir",FALSE,0,NA,2017-03-24 23:58:57,FALSE,NA,"845424731142717440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andbardec",0,FALSE,FALSE,NA,NA
"8","@AmericanAir seriously???I got omw thanks 2 ME!! Running,begging to go first in line,not even stopping for food or bathroom.U r shameless!",FALSE,0,"AmericanAir",2017-03-24 23:58:30,FALSE,"845393570056093696","845424617745518593","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ramitafi",0,FALSE,FALSE,NA,NA
"9","@AmericanAir thanks for the broken crumb covered chair. #Garbage",FALSE,0,"AmericanAir",2017-03-24 23:58:28,FALSE,NA,"845424609776283648","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PeytonWilpolt",0,FALSE,FALSE,NA,NA
"10","@SaveUsBarack The extra charges will be automatically refunded if they're not provided. We're sorry for the late start to your journey.",FALSE,0,"SaveUsBarack",2017-03-24 23:58:23,FALSE,"845408277097861122","845424586808283136","267876158","<a href=""http://ivoucher.aa.com/snap"" rel=""nofollow"">SNAP100</a>","AmericanAir",0,FALSE,FALSE,NA,NA
"11","@AmericanAir we didn't need to wait at all.  Your dopey system sent our luggage ahead to Orlando then let us stand around",FALSE,0,"AmericanAir",2017-03-24 23:58:20,FALSE,"845413800723578880","845424573864665089","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Asherlaw",0,FALSE,FALSE,NA,NA
"12","@IvyGri Please see an agent or give Reservations a call if you need some help with your flights at 800-433-7300.",FALSE,0,"IvyGri",2017-03-24 23:56:55,FALSE,"845400952358273025","845424219949322241","541016879","<a href=""http://ivoucher.aa.com/snap"" rel=""nofollow"">SNAP100</a>","AmericanAir",0,FALSE,FALSE,NA,NA
"13","@tazdev_87301 We're sorry for the delay, Rick. Please work with our team to get you rebooked.",FALSE,0,"tazdev_87301",2017-03-24 23:56:54,FALSE,"845398407233589248","845424213766950912","19360558","<a href=""http://ivoucher.aa.com/snap"" rel=""nofollow"">SNAP100</a>","AmericanAir",0,FALSE,FALSE,NA,NA
"14","@HartofLife We're truly sorry for the late arrival. Please work with our luggage team so we can get the bag delivered to you.",FALSE,0,"HartofLife",2017-03-24 23:56:35,FALSE,"845398881156390914","845424135090130945","28947414","<a href=""http://ivoucher.aa.com/snap"" rel=""nofollow"">SNAP100</a>","AmericanAir",0,FALSE,FALSE,NA,NA
"15","@AmericanAir, you just canceled my flight and wouldn't let me move it to a week from now. Kinda ruined a weekend visit. Unacceptable.",FALSE,0,"AmericanAir",2017-03-24 23:56:27,FALSE,NA,"845424100134793217","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jimmerdoo",0,FALSE,FALSE,NA,NA
