"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SouthwestAir Thank you for the reply. I forgot my CARES harness at home. Is it illegal to fly without an extra device?",FALSE,0,"SouthwestAir",2017-04-03 23:56:58,FALSE,"849046566522429440","849048107904102400","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JodiOleen",0,FALSE,FALSE,NA,NA
"2","How disappointing with attitude of staff @SouthwestAir from Mexico to Houston. No smile and asked x3 for complimentary or paid drinks <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",FALSE,0,NA,2017-04-03 23:55:43,FALSE,NA,"849047792874131457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MargaretSouthc1",0,FALSE,FALSE,NA,NA
"3","Trying to remember the last time my @SouthwestAir flight was delayed. <ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Can't think of one time. So it can't be that hard, @AmericanAir.",FALSE,1,NA,2017-04-03 23:55:39,FALSE,NA,"849047777187332096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jejily",0,FALSE,FALSE,NA,NA
"4","@Wylie_H_Dallas @SouthwestAir ""Hopefully Not Just Because You Forgot a Book Again"" is our motto!",FALSE,28,"Wylie_H_Dallas",2017-04-03 23:55:29,FALSE,"849047443438272512","849047735982592000","2832021860","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BradfordPearson",2,FALSE,FALSE,NA,NA
"5","@BradfordPearson Yes, the @SouthwestAir mag is one of the few airline mags I read by choice!",FALSE,1,"BradfordPearson",2017-04-03 23:54:19,FALSE,"849046762421719040","849047443438272512","24550615","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wylie_H_Dallas",0,FALSE,FALSE,NA,NA
"6","Win your way in to see @LittleMix live on the Power 96.1 @SouthwestAir Soundstage all this week at 8:05pm!… https://t.co/sJVMQ4N8qH",FALSE,3,NA,2017-04-03 23:54:09,TRUE,NA,"849047400983539715",NA,"<a href=""http://postplanner.com"" rel=""nofollow"">Post Planner Inc.</a>","POWERATL",0,FALSE,FALSE,NA,NA
"7","@SouthwestAir Direct message sent regarding cancelled flight.",FALSE,0,"SouthwestAir",2017-04-03 23:53:03,FALSE,"849043367946092544","849047124419502080","7212562","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrassCharmCo",0,FALSE,FALSE,NA,NA
"8","@SouthwestAir Arizona One came through @Flack4RIC today. https://t.co/X4jzBF3MXL",FALSE,1,"SouthwestAir",2017-04-03 23:52:51,FALSE,NA,"849047073370537984","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mcardaropoli_",0,FALSE,FALSE,NA,NA
"9","@SouthwestAir pilot Robert D. At LAS gate C23 went above and beyond. Took disabled woman to restroom when no one else would.",FALSE,0,"SouthwestAir",2017-04-03 23:52:05,FALSE,NA,"849046881606942720","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gwfintegrity",0,FALSE,FALSE,NA,NA
"10","@rumpfshaker @NumbersMuncher @SouthwestAir Even when we had bad luck on flights they made it up to us",FALSE,0,"rumpfshaker",2017-04-03 23:51:38,FALSE,"849046439661580288","849046768931160064","23283299","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AZBrent2",0,FALSE,FALSE,NA,NA
"11","@SouthwestAir.  Great addition to your wine selection. Great crew too on #1581 TPA-LAS. https://t.co/tLwN04omyW",FALSE,0,"SouthwestAir",2017-04-03 23:50:48,FALSE,NA,"849046557001302016","7212562","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","LasherInc",0,FALSE,FALSE,NA,NA
"12","The airport is so hot that the stickers are falling off the @SouthwestAir line up poles.",FALSE,0,NA,2017-04-03 23:50:42,FALSE,NA,"849046532682899458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmagirl1361",0,FALSE,FALSE,NA,NA
"13","@NumbersMuncher @SouthwestAir Exactly. It's like they actually want to make their customers happy. Such a fascinating idea.",FALSE,2,"NumbersMuncher",2017-04-03 23:50:20,FALSE,"849043335654322177","849046439661580288","813311743","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rumpfshaker",0,FALSE,FALSE,NA,NA
"14","How is ot possible that @SouthwestAir employees are nice to each other but rude to customers with questins about delayed flights?",FALSE,0,NA,2017-04-03 23:50:19,FALSE,NA,"849046436553666561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aizel_rivera",0,FALSE,FALSE,NA,NA
"15","@SouthwestAir if i miss my flight cause you keep changing the departure time, i'm going to be extremely upset. trying to go back to school",FALSE,0,"SouthwestAir",2017-04-03 23:49:58,FALSE,"849045637223956480","849046346103492609","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_meghein",0,FALSE,FALSE,NA,NA
"16","@SouthwestAir Well, we just pushed back but I have the A-List Pref wi-fi, hit me up if you have a solution to this verrrry pressing issue!",FALSE,0,"pettyintrigues",2017-04-03 23:49:22,FALSE,"849043023065468928","849046197675319297","40091697","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pettyintrigues",0,FALSE,FALSE,NA,NA
"17","@SouthwestAir flight attendant came through with the free drinks. You've redeemed yourselves. <U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>#Vegas #SpringBreak2017",FALSE,0,"SouthwestAir",2017-04-03 23:49:22,FALSE,NA,"849046195292913664","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraBakesCakes",0,FALSE,FALSE,NA,NA
"18","Have had THE WORST experience flying @SouthwestAir recently. Consistently delayed and poor decisions left and right #unfriendlyskies",FALSE,0,NA,2017-04-03 23:48:20,FALSE,NA,"849045937502564352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatUrban",0,FALSE,FALSE,NA,NA
"19","@SouthwestAir why didn't my 50k points go towards my A list status?",FALSE,0,"SouthwestAir",2017-04-03 23:47:59,FALSE,NA,"849045848013000704","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DudePrint",0,FALSE,FALSE,NA,NA
