"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SpiritAirlines sitting on a plane waiting on you to move your broke plane from the gate.
#spiritmorego   Please fix the fleet",FALSE,0,"SpiritAirlines",2017-03-24 23:43:24,FALSE,NA,"845420815470526465","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndiSunberry",0,FALSE,FALSE,NA,NA
"2","@SpiritAirlines y'all suck fr. Get it together",FALSE,0,"SpiritAirlines",2017-03-24 23:10:09,FALSE,NA,"845412448815460352","21964954","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","lyssaheartbreak",0,FALSE,FALSE,NA,NA
"3","@SpiritAirlines 1st and last time ever in my gay black life ever flying your airlines!",FALSE,0,"SpiritAirlines",2017-03-24 22:26:41,FALSE,NA,"845401512130023424","21964954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","synthiayrwalton",0,FALSE,FALSE,NA,NA
"4","@SpiritAirlines I can't. Won't let me.",FALSE,0,"SpiritAirlines",2017-03-24 22:22:41,FALSE,"845321652963500032","845400502011674625","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cristianm1231",0,FALSE,FALSE,NA,NA
"5","@SpiritAirlines hello",FALSE,0,"BehindTheHeat",2017-03-24 21:52:52,FALSE,"845383400341032962","845392998368251906","81235226","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BehindTheHeat",0,FALSE,FALSE,NA,NA
"6","@SpiritAirlines hi can you please confirm whether I need a yellow fever vaccination in order to enter Lima, Peru (flying from ft Lauderdale)",FALSE,0,"SpiritAirlines",2017-03-24 21:47:30,FALSE,NA,"845391650855833600","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","liammccarthy1",0,FALSE,FALSE,NA,NA
"7","Let’s get the weekend started with a smooth landing. @SpiritAirlines @BostonLogan #A320 #AvGeek https://t.co/PGh047edq8",FALSE,11,NA,2017-03-24 21:30:13,FALSE,NA,"845387301177970692",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AirbusInTheUS",5,FALSE,FALSE,NA,NA
"8","@SpiritAirlines I joined the $9 fare club, but there aren't any club fares between LAX and Oak this summer. Will more club fares be added?",FALSE,0,"SpiritAirlines",2017-03-24 21:15:04,FALSE,NA,"845383489197268994","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cf975a395dd4489",0,FALSE,FALSE,NA,NA
"9","@SpiritAirlines My flight's departure was delayed 30 minutes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> what can you do about this",FALSE,0,"SpiritAirlines",2017-03-24 21:14:43,FALSE,NA,"845383400341032962","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BehindTheHeat",0,FALSE,FALSE,NA,NA
"10","@SpiritAirlines thank you! Doing so right now. :)",FALSE,0,"SpiritAirlines",2017-03-24 20:36:39,FALSE,"845373705081413632","845373818487029760","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DelmyBarillas",0,FALSE,FALSE,NA,NA
