"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@united Yes. MSY is my final destination.",FALSE,0,"united",2017-03-31 23:57:47,FALSE,"847960920881979393","847961150377652225","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BryanAKA",0,FALSE,FALSE,NA,NA
"2","@united There is a sign says closed. And the MCO flight is delayed 2 hours after a 14 hour flight from PEK, the lou… https://t.co/XbExEHvvd5",FALSE,0,"united",2017-03-31 23:56:23,TRUE,"847956579450105856","847960800224522240","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustAlMurray",0,FALSE,FALSE,NA,NA
"3","@nickatnyteYT @united @nickatnyteYT Wow Nick you're always traveling <ed><U+00A0><U+00BD><ed><U+00BB><U+00AB><ed><U+00A0><U+00BD><ed><U+00BB><U+00AC>
Enjoy guys!",FALSE,0,"nickatnyteYT",2017-03-31 23:56:16,FALSE,"847814338748571648","847960771636187137","2298645427","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaguirre81",0,FALSE,FALSE,NA,NA
"4","@united, why didn't get 10 at DCA get snacks? Gate 11 did not wait as long as we did #NotFair #clevelandersAreHungryToo",FALSE,0,"united",2017-03-31 23:54:44,FALSE,NA,"847960382840999936","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","koko_be_ware",0,FALSE,FALSE,NA,NA
"5","@MarkWBennett @bmaz @SouthwestAir @united Knock on wood, I've traveled SWA a ton, never have an issue, never paid for bags, a place for legs",FALSE,0,"MarkWBennett",2017-03-31 23:48:11,FALSE,"847954562233368578","847958734915735553","14674729","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","StephStradley",0,FALSE,FALSE,NA,NA
"6","I will never fly @united ever again. This has been the absolute worst travel experience ever.",FALSE,2,NA,2017-03-31 23:43:58,FALSE,NA,"847957673312215042",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElliottKarella",1,FALSE,FALSE,NA,NA
"7","@united @jarrardcole umm it's not weather because friend on American Airlines flight to LGA took off around same time and landed no problem",FALSE,1,"united",2017-03-31 23:43:27,FALSE,"847956314055561216","847957544400244736","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealvikiesq",0,FALSE,FALSE,NA,NA
"8","@therealvikiesq @united nothing other than they’re citing air traffic control. Such a mess!",FALSE,0,"therealvikiesq",2017-03-31 23:36:41,FALSE,"847954563873341440","847955839596077059","3587834300","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","jarrardcole",0,FALSE,FALSE,NA,NA
"9","MUST HAVE  #worthy  ..CAN #BUYAMERICAN      @united",FALSE,0,NA,2017-03-31 23:34:45,FALSE,NA,"847955355522826240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palimportsexies",0,FALSE,FALSE,NA,NA
"10","What's in his hand @united ? https://t.co/gJOCGNGH8m",FALSE,1,NA,2017-03-31 23:34:00,FALSE,NA,"847955165336436736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennkamienski",0,FALSE,FALSE,NA,NA
