"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@united strive harder",FALSE,0,"united",2017-03-21 23:58:29,FALSE,"844335751944814593","844337450671620097","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ryanvizky",0,FALSE,FALSE,NA,NA
"2","So @united and @AmericanAir got me to all my destinations on time over the last 36 hours. Counting on @SouthwestAir to get me home tonight.",FALSE,1,NA,2017-03-21 23:57:59,FALSE,NA,"844337321168261124",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paperboyphil",0,FALSE,FALSE,NA,NA
"3","@united Started on UA1958, moved to UA 624, ended up on UA 2046",FALSE,0,"united",2017-03-21 23:57:12,FALSE,"844281846259113984","844337125453676545","260907612","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","robsilverii",0,FALSE,FALSE,NA,NA
"4",".@united yall should prolly buy me one of those butthole pillows too considering how hard you're fucking me right now",FALSE,2,"ryanvizky",2017-03-21 23:56:50,FALSE,"844336620371415040","844337034152030208","133057700","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ryanvizky",0,FALSE,FALSE,NA,NA
"5","hey @united hook me up with one of those neck pillows and i'll stop shit talking you and delete my tweets",FALSE,2,NA,2017-03-21 23:55:11,FALSE,NA,"844336620371415040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ryanvizky",0,FALSE,FALSE,NA,NA
"6","Waiting on @united to reply to my DM like... https://t.co/b4mM1zTdoC",FALSE,0,NA,2017-03-21 23:53:51,FALSE,NA,"844336283832893440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReuvenFridmar",0,FALSE,FALSE,NA,NA
"7","@united taking advantage of the new electronics ban and coaching business travelers....",FALSE,0,"united",2017-03-21 23:53:49,FALSE,"844307696371339266","844336276266504192","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoveAnSunshine",0,FALSE,FALSE,NA,NA
"8","@united Hey WiFi is available now! No one made an accouncement about it but I checked and it seems to work!",FALSE,0,"united",2017-03-21 23:51:17,FALSE,"844282579364720640","844335637591277568","260907612","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeanA208",0,FALSE,FALSE,NA,NA
"9","@united Thanks!",FALSE,0,"united",2017-03-21 23:47:33,FALSE,"844334559722332160","844334697433960453","260907612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smsaideman",0,FALSE,FALSE,NA,NA
"10","@united You really do have the worst customer service!",FALSE,0,"united",2017-03-21 23:46:09,FALSE,NA,"844334343522697216","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JudesofNoNJ",0,FALSE,FALSE,NA,NA
